,Date,Strongly Approve,Strongly Disapprove,Total Approve,Total Disapprove,Retail Price of Gasoline (Dollars per Gallon),Year
63,2018-04-09,32.0,40.0,48.8,50.0,2.8110000000000004,2018
64,2018-04-16,32.0,40.8,49.0,50.2,2.863,2018
65,2018-04-23,33.2,41.0,49.4,49.6,2.9139999999999997,2018
66,2018-04-30,33.2,41.4,47.6,50.8,2.9610000000000003,2018
67,2018-05-07,33.2,40.0,49.0,49.8,2.96,2018
68,2018-05-14,33.4,39.4,48.0,50.0,2.949,2018
69,2018-05-21,33.2,39.6,48.2,50.6,2.9989999999999997,2018
70,2018-05-28,34.8,41.8,48.6,50.2,3.0389999999999997,2018
71,2018-06-04,32.4,40.4,47.8,51.0,3.0180000000000002,2018
72,2018-06-11,32.8,40.4,48.2,49.8,2.989,2018
73,2018-06-18,33.8,40.0,48.2,50.2,2.958,2018
74,2018-06-25,33.8,41.2,47.2,50.8,2.9130000000000003,2018
75,2018-07-02,32.6,42.2,46.0,52.6,2.924,2018
76,2018-07-09,34.0,40.333333333333336,47.666666666666664,51.333333333333336,2.937,2018
77,2018-07-16,31.8,42.4,46.6,51.8,2.943,2018
78,2018-07-23,31.8,45.2,44.8,54.0,2.911,2018
79,2018-07-30,32.6,43.6,46.0,52.6,2.924,2018
80,2018-08-06,34.4,41.8,48.2,50.0,2.93,2018
81,2018-08-13,33.0,42.6,46.8,51.2,2.9210000000000003,2018
82,2018-08-20,33.8,41.2,48.8,49.8,2.9,2018
83,2018-08-27,32.6,43.4,46.4,52.4,2.906,2018
84,2018-09-03,34.0,42.0,47.0,52.2,2.903,2018
85,2018-09-10,32.8,43.4,46.0,52.6,2.912,2018
86,2018-09-17,33.0,43.0,46.6,51.6,2.9210000000000003,2018
87,2018-09-24,33.6,43.0,48.2,50.6,2.923,2018
88,2018-10-01,35.4,43.0,47.4,50.8,2.947,2018
89,2018-10-08,35.8,40.6,49.2,49.4,2.984,2018
90,2018-10-15,37.2,40.0,49.8,48.6,2.9610000000000003,2018
91,2018-10-22,35.2,40.6,49.0,50.2,2.925,2018
92,2018-10-29,34.8,43.2,47.2,51.4,2.8960000000000004,2018
93,2018-11-05,35.6,42.0,49.4,49.4,2.84,2018
94,2018-11-12,36.2,41.8,48.4,49.8,2.773,2018
95,2018-11-19,34.8,42.0,47.0,51.2,2.7,2018
96,2018-11-26,36.0,40.666666666666664,50.333333333333336,48.666666666666664,2.63,2018
97,2018-12-03,34.0,41.25,47.75,50.25,2.544,2018
98,2018-12-10,34.6,42.0,49.0,49.6,2.511,2018
99,2018-12-17,34.6,40.8,48.4,49.6,2.46,2018
100,2018-12-24,34.0,42.4,47.4,51.4,2.4130000000000003,2018
101,2018-12-31,33.333333333333336,43.666666666666664,46.666666666666664,52.0,2.358,2018
102,2019-01-07,34.5,43.0,46.5,52.0,2.329,2019
103,2019-01-14,32.4,44.8,45.8,53.0,2.338,2019
104,2019-01-21,32.0,46.0,43.4,55.0,2.34,2019
105,2019-01-28,32.6,47.2,44.2,55.4,2.343,2019
106,2019-02-04,31.4,45.8,43.8,55.4,2.3409999999999997,2019
107,2019-02-11,36.2,42.4,48.0,51.0,2.3609999999999998,2019
108,2019-02-18,37.0,40.6,50.4,48.4,2.4,2019
109,2019-02-25,35.4,41.4,49.2,49.8,2.471,2019
110,2019-03-04,35.4,40.8,49.0,49.4,2.502,2019
111,2019-03-11,35.6,41.6,48.6,50.2,2.549,2019
112,2019-03-18,35.0,43.2,48.0,50.8,2.625,2019
113,2019-03-25,34.2,42.6,47.2,51.0,2.701,2019
114,2019-04-01,36.0,42.6,48.0,51.0,2.77,2019
115,2019-04-08,37.6,39.4,49.8,48.8,2.826,2019
116,2019-04-15,36.2,38.0,50.8,47.6,2.912,2019
117,2019-04-22,36.2,40.4,50.6,49.2,2.926,2019
118,2019-04-29,35.6,41.0,48.8,49.2,2.972,2019
119,2019-05-06,34.6,39.0,49.6,48.0,2.983,2019
120,2019-05-13,36.0,39.8,49.2,49.2,2.9539999999999997,2019
121,2019-05-20,35.4,42.0,47.4,50.8,2.9389999999999996,2019
122,2019-05-27,32.8,43.2,45.8,52.8,2.909,2019
123,2019-06-03,34.6,43.0,47.0,52.2,2.8930000000000002,2019
124,2019-06-10,34.8,40.2,48.6,50.2,2.821,2019
125,2019-06-17,36.2,40.0,50.2,47.6,2.759,2019
126,2019-06-24,35.6,40.8,48.4,49.6,2.741,2019
127,2019-07-01,35.8,39.6,48.4,49.8,2.798,2019
128,2019-07-08,33.333333333333336,39.333333333333336,48.0,50.666666666666664,2.827,2019
129,2019-07-15,34.4,41.6,48.4,50.6,2.86,2019
130,2019-07-22,36.0,41.8,48.6,49.4,2.833,2019
131,2019-07-29,33.2,41.8,48.4,50.0,2.798,2019
132,2019-08-05,34.6,42.6,47.4,51.2,2.772,2019
133,2019-08-12,34.0,41.0,47.6,50.6,2.71,2019
134,2019-08-19,31.6,42.4,46.0,52.8,2.6839999999999997,2019
135,2019-08-26,32.4,41.6,46.8,51.4,2.661,2019
136,2019-09-02,33.2,41.6,47.2,51.0,2.6510000000000002,2019
137,2019-09-09,32.0,42.6,45.8,52.6,2.638,2019
138,2019-09-16,34.0,42.6,47.0,52.4,2.64,2019
139,2019-09-23,35.8,39.2,50.2,48.8,2.741,2019
140,2019-09-30,36.0,40.6,50.6,47.4,2.737,2019
141,2019-10-07,34.4,43.4,48.0,50.6,2.742,2019
142,2019-10-14,34.4,43.0,46.8,51.2,2.727,2019
143,2019-10-21,35.8,41.6,48.6,50.4,2.735,2019
144,2019-10-28,32.2,44.6,44.0,53.6,2.6919999999999997,2019
145,2019-11-04,31.8,44.0,45.6,53.4,2.702,2019
146,2019-11-11,34.6,42.8,47.0,52.0,2.7110000000000003,2019
147,2019-11-18,33.8,43.0,47.0,51.8,2.688,2019
148,2019-11-25,35.6,43.8,47.6,51.2,2.6719999999999997,2019
149,2019-12-02,35.5,45.0,45.0,54.0,2.667,2019
150,2019-12-09,36.0,41.8,49.2,49.6,2.6519999999999997,2019
151,2019-12-16,36.8,41.0,50.0,48.8,2.627,2019
152,2019-12-23,37.6,41.0,48.6,49.2,2.6210000000000004,2019
153,2019-12-30,35.666666666666664,41.333333333333336,47.333333333333336,51.666666666666664,2.658,2019
154,2020-01-06,36.666666666666664,43.333333333333336,48.0,51.333333333333336,2.665,2020
155,2020-01-13,35.4,43.2,47.8,51.0,2.657,2020
156,2020-01-20,38.4,41.8,49.2,49.4,2.625,2020
157,2020-01-27,36.2,42.6,47.6,51.2,2.595,2020
158,2020-02-03,37.6,40.2,49.6,49.6,2.546,2020
159,2020-02-10,36.2,40.4,48.6,49.8,2.511,2020
160,2020-02-17,38.4,40.4,49.6,48.6,2.5180000000000002,2020
161,2020-02-24,37.4,41.4,49.4,49.8,2.555,2020
162,2020-03-02,37.8,40.8,50.2,48.8,2.5140000000000002,2020
163,2020-03-09,34.2,41.6,47.2,50.6,2.468,2020
164,2020-03-16,34.4,43.0,48.0,50.8,2.343,2020
165,2020-03-23,34.0,41.6,46.4,52.4,2.217,2020
166,2020-03-30,34.8,41.4,45.8,52.2,2.103,2020
167,2020-04-06,33.6,41.0,46.4,52.0,2.022,2020
168,2020-04-13,33.6,43.4,45.4,52.8,1.9509999999999998,2020
169,2020-04-20,30.2,43.4,44.8,54.2,1.91,2020
170,2020-04-27,31.4,43.2,44.6,54.4,1.87,2020
171,2020-05-04,32.2,43.6,45.0,53.0,1.883,2020
172,2020-05-11,35.2,41.4,48.0,50.2,1.9409999999999998,2020
173,2020-05-18,34.0,42.0,47.6,50.8,1.969,2020
174,2020-05-25,32.4,43.2,46.2,52.8,2.049,2020
175,2020-06-01,31.4,45.8,44.0,54.8,2.064,2020
176,2020-06-08,32.2,42.8,46.2,52.4,2.123,2020
177,2020-06-15,29.2,46.0,44.2,54.6,2.185,2020
178,2020-06-22,32.4,45.2,45.4,53.2,2.2159999999999997,2020
179,2020-06-29,33.8,44.6,45.8,52.2,2.26,2020
180,2020-07-06,31.8,45.8,44.4,53.6,2.265,2020
181,2020-07-13,32.2,45.2,45.2,53.2,2.283,2020
182,2020-07-20,35.6,44.0,46.4,51.8,2.275,2020
183,2020-07-27,35.0,42.6,48.2,50.4,2.265,2020
184,2020-08-03,35.8,45.4,46.8,51.8,2.266,2020
185,2020-08-10,36.2,43.2,48.4,49.8,2.256,2020
186,2020-08-17,36.2,45.0,47.8,51.4,2.256,2020
187,2020-08-24,36.8,42.0,48.8,49.4,2.272,2020
188,2020-08-31,37.6,43.0,48.0,50.0,2.311,2020
189,2020-09-07,39.4,43.2,49.0,49.8,2.302,2020
190,2020-09-14,38.6,44.2,49.0,50.4,2.274,2020
191,2020-09-21,40.2,41.6,51.6,47.2,2.259,2020
192,2020-09-28,41.4,43.2,51.0,48.4,2.259,2020
193,2020-10-05,37.2,46.8,46.8,52.4,2.262,2020
194,2020-10-12,35.0,47.8,45.2,53.2,2.2569999999999997,2020
195,2020-10-19,38.0,45.8,47.8,50.6,2.24,2020
196,2020-10-26,39.8,44.8,49.8,49.2,2.234,2020
197,2020-11-02,40.4,41.6,51.6,47.2,2.204,2020
198,2020-11-09,38.6,42.2,49.6,49.2,2.188,2020
199,2020-11-16,41.6,39.6,52.2,46.8,2.202,2020
200,2020-11-23,40.0,41.8,50.2,48.4,2.194,2020
201,2020-11-30,37.333333333333336,42.666666666666664,48.333333333333336,49.666666666666664,2.211,2020
202,2020-12-07,38.0,41.4,49.4,48.8,2.246,2020
203,2020-12-14,37.8,40.4,49.0,49.4,2.247,2020
204,2020-12-21,35.6,43.0,48.0,50.6,2.311,2020
205,2020-12-28,30.333333333333332,43.333333333333336,45.333333333333336,52.333333333333336,2.33,2020
206,2021-01-04,34.0,44.666666666666664,46.333333333333336,52.666666666666664,2.336,2021
207,2021-01-11,36.0,42.5,47.75,50.5,2.403,2021
208,2021-01-18,35.0,42.0,47.75,51.5,2.464,2021
209,2021-01-25,35.5,41.5,49.5,49.5,2.478,2021
